Size,TimeMicros,ArrayType,Threshold
7500,5207,1,0
7600,4414,1,0
7700,4435,1,0
7800,4740,1,0
7900,4647,1,0
8000,4754,1,0
8100,4651,1,0
8200,4868,1,0
8300,4655,1,0
8400,4875,1,0
8500,5101,1,0
8600,4938,1,0
8700,5290,1,0
8800,5166,1,0
8900,5292,1,0
9000,5589,1,0
9100,5423,1,0
9200,5500,1,0
9300,5629,1,0
9400,5715,1,0
9500,5889,1,0
9600,5737,1,0
9700,5781,1,0
9800,6101,1,0
9900,5932,1,0
10000,5976,1,0
10100,6147,1,0
10200,5954,1,0
10300,6254,1,0
10400,5671,1,0
10500,5911,1,0
10600,6332,1,0
10700,6026,1,0
10800,6148,1,0
10900,7084,1,0
11000,6356,1,0
11100,6499,1,0
11200,6398,1,0
11300,6608,1,0
11400,7275,1,0
11500,6541,1,0
11600,6518,1,0
11700,6730,1,0
11800,7153,1,0
11900,6866,1,0
12000,6971,1,0
12100,6932,1,0
12200,7059,1,0
12300,7175,1,0
12400,8525,1,0
12500,7260,1,0
12600,7587,1,0
12700,7515,1,0
12800,8189,1,0
12900,7700,1,0
13000,7611,1,0
13100,8770,1,0
13200,8999,1,0
13300,9271,1,0
13400,8688,1,0
13500,14980,1,0
13600,8293,1,0
13700,10411,1,0
13800,8377,1,0
13900,8513,1,0
14000,8794,1,0
14100,8421,1,0
14200,9047,1,0
14300,8765,1,0
14400,9081,1,0
14500,9202,1,0
14600,9167,1,0
14700,9007,1,0
14800,8631,1,0
14900,8989,1,0
15000,8811,1,0
15100,9612,1,0
15200,9453,1,0
15300,9102,1,0
15400,9556,1,0
15500,9762,1,0
15600,9535,1,0
15700,9911,1,0
15800,9831,1,0
15900,9744,1,0
16000,9590,1,0
16100,10013,1,0
16200,10223,1,0
16300,9996,1,0
16400,10134,1,0
16500,10057,1,0
16600,10227,1,0
16700,9881,1,0
16800,10385,1,0
16900,10886,1,0
17000,10436,1,0
17100,10793,1,0
17200,10917,1,0
17300,10529,1,0
17400,10718,1,0
17500,10149,1,0
17600,10819,1,0
17700,10891,1,0
17800,10675,1,0
17900,11868,1,0
18000,11532,1,0
18100,11056,1,0
18200,11202,1,0
18300,11002,1,0
18400,11617,1,0
18500,11213,1,0
18600,10950,1,0
18700,10931,1,0
18800,11315,1,0
18900,11602,1,0
19000,11533,1,0
19100,11388,1,0
19200,11349,1,0
19300,11689,1,0
19400,11780,1,0
19500,12151,1,0
19600,12529,1,0
19700,12316,1,0
19800,11728,1,0
19900,12075,1,0
20000,12038,1,0
20100,12299,1,0
20200,13009,1,0
20300,11920,1,0
20400,12042,1,0
20500,12660,1,0
20600,12592,1,0
20700,12909,1,0
20800,13888,1,0
20900,13384,1,0
21000,13510,1,0
21100,13342,1,0
21200,14335,1,0
21300,13374,1,0
21400,12982,1,0
21500,13536,1,0
21600,13137,1,0
21700,13682,1,0
21800,13081,1,0
21900,14757,1,0
22000,13205,1,0
22100,14006,1,0
22200,13546,1,0
22300,14457,1,0
22400,13768,1,0
22500,13901,1,0
22600,13904,1,0
22700,13926,1,0
22800,14254,1,0
22900,13903,1,0
23000,14067,1,0
23100,13892,1,0
23200,14434,1,0
23300,14346,1,0
23400,14457,1,0
23500,14890,1,0
23600,15525,1,0
23700,14950,1,0
23800,14446,1,0
23900,14517,1,0
24000,14457,1,0
24100,15143,1,0
24200,15171,1,0
24300,14733,1,0
24400,14855,1,0
24500,15254,1,0
24600,14893,1,0
24700,15225,1,0
24800,14951,1,0
24900,17475,1,0
25000,18046,1,0
25100,16684,1,0
25200,18013,1,0
25300,18461,1,0
25400,18693,1,0
25500,17213,1,0
25600,15973,1,0
25700,17812,1,0
25800,18021,1,0
25900,19928,1,0
26000,22567,1,0
26100,22119,1,0
26200,20823,1,0
26300,21113,1,0
26400,24586,1,0
26500,16722,1,0
26600,15823,1,0
26700,16381,1,0
26800,16832,1,0
26900,16006,1,0
27000,16793,1,0
27100,16782,1,0
27200,16229,1,0
27300,16974,1,0
27400,16444,1,0
27500,17264,1,0
27600,16785,1,0
27700,16802,1,0
27800,16922,1,0
27900,17550,1,0
28000,17714,1,0
28100,17296,1,0
28200,16882,1,0
28300,17778,1,0
28400,17244,1,0
28500,17397,1,0
28600,17162,1,0
28700,16938,1,0
28800,17373,1,0
28900,18319,1,0
29000,19168,1,0
29100,17496,1,0
29200,17415,1,0
29300,17805,1,0
29400,18269,1,0
29500,17206,1,0
29600,18265,1,0
29700,18431,1,0
29800,18487,1,0
29900,18535,1,0
30000,18480,1,0
30100,18674,1,0
30200,19036,1,0
30300,18385,1,0
30400,18853,1,0
30500,18644,1,0
30600,21649,1,0
30700,22197,1,0
30800,19581,1,0
30900,19852,1,0
31000,19223,1,0
31100,20153,1,0
31200,20236,1,0
31300,19344,1,0
31400,19450,1,0
31500,20588,1,0
31600,19866,1,0
31700,20982,1,0
31800,19458,1,0
31900,20178,1,0
32000,20022,1,0
32100,19828,1,0
32200,20279,1,0
32300,20005,1,0
32400,19906,1,0
32500,20551,1,0
32600,20969,1,0
32700,20393,1,0
32800,20493,1,0
32900,20938,1,0
33000,20943,1,0
33100,21458,1,0
33200,21498,1,0
33300,22410,1,0
33400,21850,1,0
33500,21130,1,0
33600,21586,1,0
33700,22237,1,0
33800,21871,1,0
33900,20629,1,0
34000,20278,1,0
34100,21496,1,0
34200,20468,1,0
34300,20130,1,0
34400,21277,1,0
34500,20834,1,0
34600,20149,1,0
34700,20549,1,0
34800,22406,1,0
34900,21468,1,0
35000,21328,1,0
35100,21584,1,0
35200,21225,1,0
35300,21621,1,0
35400,21722,1,0
35500,22618,1,0
35600,22177,1,0
35700,21566,1,0
35800,21952,1,0
35900,22095,1,0
36000,28663,1,0
36100,30135,1,0
36200,24282,1,0
36300,22507,1,0
36400,22505,1,0
36500,22974,1,0
36600,22290,1,0
36700,23688,1,0
36800,22425,1,0
36900,23488,1,0
37000,27912,1,0
37100,27867,1,0
37200,24423,1,0
37300,22725,1,0
37400,22895,1,0
37500,23182,1,0
37600,23228,1,0
37700,22903,1,0
37800,26674,1,0
37900,28204,1,0
38000,27528,1,0
38100,29395,1,0
38200,28366,1,0
38300,23439,1,0
38400,22472,1,0
38500,23499,1,0
38600,23512,1,0
38700,26380,1,0
38800,28406,1,0
38900,30991,1,0
39000,32874,1,0
39100,30035,1,0
39200,28459,1,0
39300,31809,1,0
39400,29582,1,0
39500,27554,1,0
39600,34210,1,0
39700,30750,1,0
39800,25677,1,0
39900,26293,1,0
